user_id,location_id,x,y,distance,Rx_power
1,1,93.35,11.85,12.1422836814,-96.34
2,2,91.12,11.85,10.2961435985,-92.18
3,3,88.58,11.85,8.4227865342,-89.8
4,4,88.58,14.74,6.5651407449,-78.28
6,6,91.12,15.96,8.4515698542,-92.92
7,7,90.96,14.59,8.7528654165,-87.72
8,8,88.58,17.93,5.6359394071,-68.74
9,9,86.35,17.93,3.4078634069,-63.08
10,10,86.35,15.65,4.2002205895,-74.78
11,11,86.35,13.83,5.4695459592,-78.02
12,12,83.17,18.39,0.3563888326,-73.44
14,14,83.01,17.02,1.093815798,-61.04
15,15,81.42,17.33,1.7155911518,-74.38
16,16,79.67,18.69,3.3275836579,-84.76
17,17,81.26,15.35,3.2364506794,-73.96
18,18,82.69,13.98,4.1399846618,-71.03333333
19,19,83.01,20.82,2.7087327295,-72.53333333
20,20,83.01,22.95,4.8384101728,-76.06666667
22,22,80.47,21.13,3.9043377159,-81.13333333
23,23,87.46,18.69,4.549862965,-82.13333333
24,24,87.78,21.43,5.8623385266,-79.53333333
25,25,87.78,23.41,7.1712406876,-77.76666667
26,26,84.92,19.91,2.6693694012,-75.53333333
27,27,78.56,18.85,4.4486417028,-88.66666667
28,28,78.56,20.37,4.9339976692,-82.93333333
29,29,76.97,17.63,5.9964033387,-79.13333333
30,30,77.6,14.59,6.4027254353,-87.43333333
31,31,75.69,14.59,7.3226275339,-84.03333333
32,33,76.49,16.41,6.6775484274,-86.56666667
33,34,76.65,13.22,7.7309995473,-90.16666667
34,35,78.56,16.41,4.7055895486,-83.1
35,36,78.72,13.07,6.5794599322,-79.86666667
36,37,78.56,14.59,5.6258557571,-81.63333333
37,38,80.47,14.89,4.0640882126,-75.86666667
38,39,76.81,19.3,6.250928971,-86.2
39,40,78.56,17.48,4.4322898145,-80.73333333
41,42,82.69,11.7,6.4171483542,-87.23333333
42,43,82.85,10.34,7.7726052904,-95.4
43,44,82.85,8.97,9.1425145885,-84.2
44,45,82.85,7.14,10.9724287649,-89
45,46,82.85,5.62,12.4923765953,-90.26666667
46,47,83.01,4.41,13.7021448321,-87.76666667
48,49,84.6,8.82,9.4378849855,-86.93333333
49,50,87.3,8.82,10.2610853714,-96.23333333
50,51,88.73,8.82,10.9446038302,-97.2
52,53,91.44,8.82,12.5885786727,-96.96666667
53,54,92.55,8.82,13.3625923009,-96.1
54,55,92.55,10.03,12.5513478559,-92.53333333
55,56,89.69,10.03,10.5255295829,-101.3
56,57,87.62,10.03,9.335719201,-97.56666667
57,58,92.39,7.9,13.9088170956,-103.6333333
58,59,88.58,7.9,11.6625740298,-101.8333333
59,60,84.44,9.73,8.5139281768,-88.8
60,61,84.6,7.9,10.3449191877,-94.66666667
61,62,84.44,3.5,14.6880765589,-97.4
62,63,85.87,3.5,14.9014923078,-99.56666667
63,64,85.71,4.71,13.6838508104,-98.16666667
64,65,87.3,3.5,15.2466111972,-102.4666667
65,66,88.89,3.5,15.7743397009,-105.6333333
66,67,86.83,4.71,13.9531821819,-101.3666667
67,68,81.58,3.34,14.7106993036,-99.43333333
68,69,80.47,3.34,13.7875913052,-101.7666667
69,70,79.19,3.34,12.7601282909,-103.9
71,72,76.33,3.34,10.6637082668,-106.7333333
72,73,75.06,3.5,9.7287837883,-103.2333333
73,"74""",79.35,2.13,13.6620025619,-105.6333333
74,"75""",77.76,2.28,12.4140772512,-103.8
76,74,74.26,3.5,9.2667812103,-103.4
78,76,74.26,5.47,7.6961648891,-97.16666667
79,77,74.9,5.02,8.4587915213,-97.7
80,78,74.9,4.26,9.0329283181,-93.63333333
81,79,76.33,4.26,10.0006096814,-104.9333333
82,80,76.33,5.17,9.3874359652,-108.5
83,81,72.99,3.5,8.6354058388,-92.63333333
84,82,71.72,4.26,7.4360738297,-97.2
85,83,71.88,3.5,8.205670844,-100.3
86,84,70.77,3.5,7.9094901226,-96.3
87,85,69.49,3.5,7.7534014471,-94.46666667
88,86,69.49,4.1,7.1539383559,-94.86666667
89,87,69.33,5.02,6.2289288004,-92.1
90,88,70.77,5.17,6.2828300948,-91.7
92,90,71.72,5.02,6.7270018582,-97
93,91,73.15,5.17,7.2615806819,-97.5
94,92,73.15,4.41,7.9085519534,-96.83333333
95,93,68.54,3.5,7.772981024,-101.9666667
96,94,67.58,3.5,7.9094901226,-103.1
98,96,65.04,3.5,8.7814710613,-106.5
99,97,63.93,3.5,9.3555349393,-106.1666667
100,98,64.09,2.74,9.9109169102,-122.2666667
101,99,64.25,1.37,11.0367909285,-123.4
103,101,62.34,0.15,13.0330592725,-129.1333333
104,102,60.59,0.15,14.0301687089,-129.9
105,103,60.59,1.37,13.0865333072,-125.0333333
106,104,60.59,2.58,12.1991439864,-128.7666667
107,105,62.34,2.58,11.0378491564,-130
108,106,64.25,0.3,12.0038507988,-131.6333333
109,107,64.25,4.71,8.1846193558,-103.4666667
110,108,66.31,4.71,7.1372679647,-101.6666667
111,109,65.04,4.71,7.7350238526,-105.1333333
112,110,68.06,4.71,6.6314096541,-105.9
113,111,69.97,6.38,4.9315022052,-90.23333333
114,112,69.97,7.45,3.8793342212,-89.2
115,113,69.81,8.66,2.6637931601,-82.86666667
116,114,69.97,10.49,1.0977586256,-81.9
118,116,72.2,8.36,4.1815540174,-89.26666667
119,117,74.42,8.36,5.9870521962,-97.93333333
120,118,76.33,8.51,7.6606262146,-99.23333333
121,119,78.56,8.51,9.775960004,-93
122,120,80.31,8.36,10.102240989,-90.63333333
123,121,80.47,9.58,8.8842868594,-90.9
124,122,80.47,6.99,11.3944904669,-91.33333333
125,123,78.72,6.99,10.4512714059,-96.7
126,124,77.76,9.27,8.8096965896,-95.46666667
127,125,73.63,9.27,4.8739669675,-90.3
128,126,71.08,9.42,2.6394988161,-87.1
129,127,71.08,7.14,4.5273031708,-92.76666667
130,128,67.74,6.38,5.0741417008,-94.86666667
131,129,66.31,7.9,4.4057501064,-91.63333333
132,130,65.36,6.69,5.9431030615,-98.43333333
133,131,66.15,8.97,3.7862057525,-93.16666667
134,132,63.45,6.38,7.5142074765,-102.3333333
135,133,62.81,6.99,7.6573673022,-95.4
136,134,62.66,8.82,6.9523775789,-102.8333333
138,136,60.91,6.69,9.4380333757,-105.2333333
139,137,60.91,5.02,10.3482246787,-106.9
140,138,61.06,3.8,11.0141288353,-111.6
142,140,59.63,6.38,10.7142295103,-118.7333333
143,141,59.63,8.51,9.9296623306,-110.8666667
144,142,80.62,11.85,6.6803871894,-84.46666667
145,143,78.72,11.7,7.6799266273,-88.5
146,144,74.9,11.85,5.7566686547,-78.4
147,145,72.67,11.85,3.5466369986,-76.7
148,146,70.45,11.85,1.4104020703,-68.1
149,147,67.74,11.85,1.5565455342,-75.46666667
150,148,65.68,11.85,3.5466369986,-86.16666667
152,150,61.38,11.85,7.8182884316,-99.13333333
153,151,59.47,11.85,9.7237150308,-96.8
154,152,57.73,11.85,8.7689287829,-97.3
155,153,55.18,11.85,7.1657666722,-93.43333333
156,154,55.34,19.91,4.3522835386,-90.1
157,155,57.25,19.91,6.1209110433,-92.3
159,157,61.22,19.76,9.9372789032,-108.5666667
160,158,63.93,19.91,10.1270723311,-114.4
161,159,66.15,20.06,9.3177032578,-114.4333333
162,160,68.54,20.06,8.8358471014,-106.9333333
163,161,65.04,21.73,11.2690511579,-114.3666667
164,162,67.27,21.73,10.6546850728,-103.3666667
166,164,69.33,23.25,12.0040007498,-104.5
167,165,72.2,21.73,10.9107247239,-96.36666667
168,166,74.26,21.73,9.4103078058,-104.8
169,167,60.59,18.54,9.1619982537,-121.3
170,168,62.5,17.33,9.0309752519,-124.9
171,169,62.5,15.96,8.1711684599,-129.3666667
172,170,70.45,13.83,2.8805405743,-89.56666667
173,171,70.29,15.2,4.1072416535,-93.93333333
174,172,70.29,17.17,6.0270352579,-92.76666667
175,173,70.29,18.54,7.3777417954,-89.83333333
176,174,72.51,18.39,7.8831893292,-87.93333333
177,175,72.51,16.72,6.4090525041,-90.36666667
179,177,72.51,13.68,4.1281610918,-84.36666667
180,178,74.42,13.98,5.9143312386,-93.86666667
181,179,74.26,15.35,6.5338988361,-95.33333333
182,180,74.26,16.87,7.5812501608,-91.26666667
183,181,74.26,18.24,8.6463445455,-91.13333333
184,182,94.94,11.85,13.5294010584,-99.43333333
185,183,94.94,10.49,14.210099683,-113.7666667
186,184,97,10.64,15.9159540399,-112.1666667
187,185,97,11.7,15.446700392,-98.3
188,186,97,13.98,14.6478746923,-113.2666667
190,188,94.78,15.35,12.1510712696,-115.9
191,189,94.78,13.68,12.6357632536,-110.4
192,190,98.91,15.96,16.1074042912,-119.6333333
193,191,102.25,16.11,19.4065404696,-127.7
194,192,102.25,17.48,19.3133433926,-127.9333333
195,193,100.03,19.15,17.1145065076,-125.5333333
196,194,99.07,17.63,16.1302031295,-127.9333333
197,195,98.91,14.44,16.3798947799,-118.8333333
198,196,101.93,14.44,19.3348874577,-126.8
199,1,54.86,20.06,4.0050258426,-84.23333333
200,2,52.48,20.06,2.3353783419,-73.3
201,3,49.46,20.37,3.1182386054,-80.06666667
202,4,49.46,17.78,1.9946909535,-76.56666667
203,5,52.64,17.93,1.1945425903,-71.83333333
204,6,54.7,17.78,3.2593115838,-88.66666667
205,7,54.7,15.05,4.3693903465,-89.13333333
206,8,52.48,15.05,3.093899158,-79.93333333
207,9,49.62,15.05,3.4405423991,-82.96666667
208,10,54.7,11.85,6.9277681832,-94
210,12,49.14,11.85,6.5362903852,-92.46666667
211,13,47.23,11.7,7.5523116991,-103.3666667
212,14,45.48,11.85,8.5439225184,-102.0666667
213,15,43.1,11.85,10.3470368705,-99.43333333
214,16,40.71,11.85,12.3558549684,-95.6
215,17,37.37,11.85,12.993630478,-99.83333333
216,18,33.24,11.85,8.8639242438,-97.3
217,19,29.26,11.85,4.8846773691,-87.23333333
219,21,27.51,9.42,4.0446326162,-95.76666667
220,22,27.51,7.14,5.763847066,-98.03333333
221,23,27.51,5.62,7.0880076891,-98
223,25,29.26,4.1,9.2685798804,-98.83333333
224,26,31.65,4.1,10.7219127491,-104.4
226,28,31.65,7.45,8.5673399022,-104.5666667
227,29,34.67,4.1,12.9618182752,-128.7
228,30,35.3,6.99,12.0080003748,-110.3333333
229,31,37.85,3.95,15.683447102,-128.2666667
230,32,40.71,4.1,17.5364663487,-130
231,33,39.44,5.78,16.2883140011,-135.4666667
232,34,39.28,7.3,15.6199581626,-116.7
233,35,37.85,2.74,16.3359227777,-117.6333333
234,36,26.08,4.1,8.0599685483,-100.3
235,37,23.54,4.1,7.9223388592,-103.8333333
236,38,24.17,6.08,5.9016313846,-96.5
237,39,21.79,4.26,8.1400302825,-98.56666667
238,40,20.51,5.62,7.4416297274,-94.53333333
239,41,20.51,7.3,6.0693799519,-88.56666667
241,43,20.51,10.49,4.1434083796,-89.86666667
242,44,22.1,7.9,4.6706330406,-89.7
244,46,26.08,7.9,4.4193091089,-87.1
245,47,26.08,9.42,3.0730397004,-82.7
246,48,23.54,9.42,2.6914555542,-79.36666667
247,49,22.26,9.42,3.3203995242,-84.9
248,50,17.81,3.95,10.3718018203,-99.5
249,51,16.06,4.26,11.3463656296,-104.5333333
250,52,13.2,4.1,13.674363349,-125.9666667
252,54,11.13,1.22,17.0650980952,-119.5333333
253,55,13.2,1.22,15.5132167199,-121.0666667
254,56,13.99,6.69,11.655587201,-126.7
256,58,12.4,7.9,12.6522177107,-124.8666667
257,59,16.38,5.62,10.2164657783,-129.6666667
258,60,16.38,8.97,8.5440080173,-93.36666667
259,61,18.76,8.82,6.4438849307,-87.6
260,62,24.17,11.7,0.3466020773,-67.53333333
261,63,20.51,11.7,3.8769798813,-80.96666667
262,64,17.81,11.85,6.5682473309,-84.46666667
263,65,14.79,11.7,9.5910298196,-94.36666667
265,67,19.56,13.83,5.1607550804,-92.06666667
266,68,19.4,15.96,6.3739197516,-93.13333333
267,69,19.56,17.78,7.5410007957,-97.86666667
269,71,17.81,19.45,9.947676764,-104.7
270,72,17.81,20.97,11.1347004001,-104.1333333
271,73,17.81,22.49,12.3946614718,-110.9333333
272,74,17.81,23.71,13.4448991443,-107.8333333
273,75,15.74,23.71,14.568376471,-107.0666667
274,76,15.9,18.69,10.8125146474,-98.66666667
275,77,14.63,19.61,12.3794762813,-103.7666667
277,79,12.4,20.97,14.9768018282,-105.9666667
278,80,12.09,22.95,16.4728611055,-112.6666667
279,81,12.24,24.17,17.2032448393,-112.6
280,82,12.4,17.33,13.1184005504,-107.2666667
281,83,12.4,15.5,12.4841104209,-105.9333333
282,84,15.9,17.33,10.0251400489,-99.9
283,85,15.9,15.96,9.3656741882,-101.4666667
284,86,15.9,13.98,8.7101970701,-97.23333333
285,87,21.63,19.45,7.960954277,-100.4666667
286,88,23.54,19.45,7.5187334705,-103.0333333
287,89,22.42,18.24,6.5606777851,-97.63333333
288,90,22.42,15.96,4.4369102989,-92.46666667
289,91,22.58,13.83,2.5805257216,-91.3
290,92,25.6,19.45,7.5714274084,-104.4333333
291,93,27.51,19.45,8.102251107,-102.5
292,94,29.26,19.45,8.9260558479,-102.9333333
294,96,29.26,22.49,11.5907649877,-108.7333333
295,97,28.31,23.86,12.516006272,-110.3666667
296,98,23.54,23.41,11.4625997487,-103.9
297,99,23.54,21.43,9.4889869322,-107.2666667
298,100,29.26,17.02,7.0189353181,-100.7333333
299,101,29.26,15.5,6.0206455634,-100.8333333
300,102,29.26,13.98,5.277470322,-98.53333333
301,103,30.85,19.45,9.8858744176,-112.5
302,104,33.24,19.45,11.592392031,-113.3
303,105,32.28,17.33,9.5447007811,-105.5666667
304,106,32.28,15.5,8.6522767524,-103.9
305,107,32.28,14.13,8.1907577794,-105.6333333
306,108,35.14,19.61,13.1943015351,-113.0666667
307,109,34.99,20.67,13.7181133178,-114.3333333
308,110,34.99,22.49,14.9378014781,-118.5333333
309,111,37.69,19.45,13.8358155524,-117.9666667
310,112,37.69,20.97,14.0801829534,-123.3
311,113,39.44,19.45,12.0973671516,-122.2333333
312,114,41.5,19.45,10.0561012326,-98.33333333
313,115,41.98,17.63,9.4719613597,-120.6333333
314,116,41.98,16.11,9.6462371939,-128.7666667
315,117,41.98,14.13,10.2137188134,-126.6
316,118,43.73,19.76,7.9218111566,-100.0666667
317,119,46.28,19.76,5.4686371246,-94.36666667
318,120,48.02,19.91,3.9391130982,-87.16666667
319,121,47.55,21.58,5.3141144135,-95.06666667
320,122,47.55,22.95,6.3260629146,-93.53333333
321,123,47.55,24.17,7.3258741458,-101.1
322,124,45.32,24.17,8.7188010644,-97.33333333
323,125,43.25,24.17,10.2793011436,-101.3333333
324,126,41.19,24.01,11.9044307718,-101.1
326,128,41.19,21.43,10.825194317,-105.6
327,129,43.25,21.43,8.8979611148,-103.3666667
328,130,45.64,21.43,6.7608381137,-99.8
330,132,43.1,22.65,9.5705575595,-104.0666667
331,133,9.38,12.01,14.9970341401,-99.4
332,134,9.38,10.49,15.0706387721,-103.2333333
333,135,7.32,10.64,17.1093977977,-110.8333333
334,136,3.82,11.25,20.5698865578,-120.3333333
335,137,2.7,13.53,21.7324879616,-125.1333333
336,138,7.16,12.77,17.2352067873,-119.7666667
337,139,7.16,14.59,17.4140068049,-124.2
338,140,5.88,15.65,18.8579583465,-128.3333333
339,141,8.75,15.81,16.0899767868,-120.9666667
340,142,9.38,14.13,15.150614278,-122.1333333
