id,location_id,user_x,user_y,cell_x,cell_y,cell_power,cell_x,cell_y,cell_power,cell_x,cell_y,cell_power,cell_x,cell_y,cell_power,serving Rx,neighbor Rx
0,0,35.8674899716,3.50669423964,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-74.7785302591,-91.7517258297
1,1,19.1418531117,5.68698425204,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-56.3705169804,-99.6527507858
2,2,41.8629214649,5.74182439116,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-78.2640376662,-83.6959154707
3,3,28.4006860692,5.52199520871,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-65.9571351431,-98.3528018533
4,4,23.1514364325,7.05925180924,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-45.1856629088,-98.0505328065
5,5,33.2261372558,6.54657462854,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-64.9175019551,-91.9547703818
6,6,39.1877433008,4.24980365678,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-85.0432085139,-85.4281006787
7,7,22.5252190371,4.47279769287,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-52.8792277269,-101.034448735
8,8,37.7673134948,4.66575572712,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-79.5484449758,-87.9703354039
9,9,20.8721648275,8.48370275181,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-49.1399061831,-103.906125058
10,10,19.5351922216,3.77201044532,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-65.8207010194,-97.9609544355
11,11,31.8234083071,5.65324673659,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-68.2035167345,-87.2634055641
12,12,24.5271916027,7.38584298237,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-47.6277995534,-100.17294186
13,13,38.7239405786,8.40771945487,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-76.9887646284,-83.4063717511
14,14,25.0705218653,6.9265895974,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-56.3071269948,-99.0833204119
15,15,34.5017433517,2.77661553293,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-81.3136044396,-87.3682945729
16,16,23.639989185,7.92270461626,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-51.2354207024,-99.2719108438
17,17,17.3638548201,5.01385187358,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.3673536263,-104.33367111
18,18,27.0724299785,3.36419281006,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.1665413031,-98.4496620003
19,19,38.3704674412,6.67228326127,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-84.5485994352,-86.0109191744
20,20,22.12323829,5.77419350211,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-62.6560399179,-103.192229498
21,21,31.4463980913,9.66842753534,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-57.9593548058,-90.0547231138
22,22,31.067239261,7.28482332082,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-66.885407938,-96.0157251157
23,23,27.5471397884,9.35944143091,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-39.5229332724,-94.6158987538
24,24,28.2565872412,1.61493759391,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-73.5108623021,-95.6954082215
25,25,37.174032445,7.37922932198,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-74.1785286654,-87.5367052294
26,26,18.3259918777,1.95511867736,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-69.8470386375,-109.795572003
27,27,18.9076008284,4.52572421256,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-71.9166489163,-102.734586154
28,28,19.4242816406,2.91301570627,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-73.659639147,-100.468519053
29,29,27.1707777409,8.02380823322,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-48.290302416,-84.2185786511
30,30,22.3056722678,10.2281545194,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-49.3054334865,-107.793028415
31,31,36.1591954546,3.80720960417,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-81.5131141698,-92.0837451137
32,32,24.8650556332,10.031971685,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-27.4137236648,-98.8210003101
33,33,24.1055763519,8.02615321557,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-46.7517453164,-95.4731461064
34,34,36.0204278797,8.36303594341,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.0907856729,-85.7740561901
35,35,12.1568528095,2.50587695352,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-84.4315180302,-107.989849919
36,36,34.9265110801,6.08275369889,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-72.22844757,-90.7102589893
37,37,32.2166936071,5.4467314645,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.3586225455,-94.7203631476
38,38,14.7348356417,8.55274123987,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-68.9511202795,-102.562487681
39,39,24.2209775769,5.29592068564,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-54.7350149374,-98.1566014511
40,40,18.4528768628,4.432238559,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.1056080722,-105.040845117
41,41,29.7747729515,8.28030312031,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-55.8558867325,-94.233370652
42,42,37.1072949773,5.01635626795,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.3750197309,-90.6995427972
43,43,31.129852067,6.34839117622,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-69.2753139338,-100.229332114
44,44,24.6075591322,5.98346365752,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-56.517657406,-96.1652049108
45,45,34.2094977965,3.15584779105,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-81.2222904483,-91.0365861873
46,46,27.2233779656,4.38581520145,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-67.461934552,-96.6275059833
47,47,27.2340324217,0.499818041828,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-85.821889799,-104.634485793
48,48,28.7233312549,5.47311318369,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-61.5384796597,-90.2829557629
49,49,25.6618059982,1.21906201115,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-72.2964413641,-97.5921169235
50,50,39.6850909978,6.44741448483,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-87.905159345,-90.2513224241
51,51,23.5748192937,4.41653840438,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-61.2104041419,-96.7953627464
52,52,31.0004864206,8.23755670983,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-58.4492996558,-96.7363971469
53,53,29.9113349993,5.31906111174,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.6811767063,-97.2567532719
54,54,26.0592189327,5.75004673463,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-63.3926505513,-108.29559038
55,55,49.0866909787,2.75952374912,51.446,17.966,19,69.175,11.247,19,24.377,11.978,19,82.947,18.112,19,-80.8508538063,-95.8120339229
56,56,32.7177470424,4.77891544809,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.8567516563,-88.5104196153
57,57,26.129376881,5.19725055515,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-62.4451058094,-88.5021601755
58,58,23.1685326864,4.33624760929,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-57.8940729185,-102.978886556
59,59,16.6689794139,7.68794593966,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-72.0190679726,-109.261487921
60,60,32.3984229887,7.59590905614,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-63.0871577798,-92.1389406583
61,61,21.0061256636,3.48244736553,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-62.4157150431,-98.4213307085
62,62,22.8909134609,4.43860196626,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-56.0184617053,-104.31821598
63,63,39.9992190547,4.60125771322,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-79.4072361055,-90.0858605206
64,64,32.5698054481,4.54133015431,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.58439437,-90.8015101678
65,65,25.3861896508,4.1446709651,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-69.6050718915,-105.87706858
66,66,25.7863131597,5.80069870148,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-61.5255354371,-101.488386873
67,67,32.4410388431,3.79807422846,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-84.2452521266,-98.4938077301
68,68,35.230562792,7.61383003174,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-67.7267057558,-88.5278257327
69,69,24.2378608502,7.06168289013,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-50.8569390331,-97.7338638091
70,70,39.7533297222,6.53085546299,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-81.9558598502,-88.2001579378
71,71,39.0326587803,2.38553971579,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-84.778722167,-89.3854979579
72,72,29.6475176102,5.9026664226,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-66.0530918961,-104.493624137
73,73,36.3469905823,6.31467155086,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-78.4277322569,-91.3233404586
74,74,31.449320336,7.48342087331,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-72.138603354,-90.5195923081
75,75,45.3854698328,3.57724399007,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-80.9852551596,-90.4516118642
76,76,41.7377937357,5.47645221758,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-83.1745332449,-87.6784984866
77,77,38.5622188056,5.86998852647,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-83.2656675036,-90.1272489448
78,78,28.0250717598,7.47338426408,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-55.5644173328,-96.6117525373
79,79,28.4064751361,5.82959564947,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-49.2472519936,-91.4027745903
80,80,37.1689856252,3.59074649968,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-85.7383139539,-98.2475340485
81,81,39.4834567585,8.54407164219,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-78.6345744268,-91.8582695554
82,82,32.254860988,9.92289843292,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-62.1396946377,-93.0362930622
83,83,34.3342294273,8.55381752821,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-68.832752705,-81.7578534046
84,84,30.7459539933,4.25194078426,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-67.6670727105,-98.8296432941
85,85,22.7921117061,6.356668684,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-49.5248143597,-100.74445201
86,86,26.5236564563,9.20366570598,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-46.2148881081,-97.9821623049
87,87,17.8101717549,4.58610541806,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.2599997864,-96.0553994488
88,88,14.6574018189,5.29619895852,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-74.4659584723,-112.309728451
89,89,15.2245103651,9.36034516369,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-67.4664830358,-105.652419058
90,90,21.2705007405,4.89303871238,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-60.0861744443,-99.2763686674
91,91,27.6194981728,9.46107470323,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-49.2387498699,-96.0000477091
92,92,16.9336228271,6.87751439831,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-64.8439082575,-104.053146228
93,93,37.4146323598,6.21453067281,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-74.4147138899,-81.3303497823
94,94,26.7370322323,1.8415964942,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-76.5127297966,-100.803418273
95,95,37.2095491136,2.31754760957,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-90.2663571435,-93.7547790395
96,96,22.0120002551,6.55674877469,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-64.5286311139,-105.908275832
97,97,33.5208624669,6.96525531819,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-73.8176278333,-94.8480345237
98,98,22.3070439719,8.61037952508,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-50.2981458365,-90.2763930416
99,99,27.1950812179,7.93336296708,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-45.8650278245,-97.3119691346
100,100,39.7054223966,4.62829037302,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-85.2716050918,-87.6538804981
101,101,28.6958942819,3.35747697906,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-62.6032767619,-96.3205324894
102,102,35.002502146,9.64934920471,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-72.2375181542,-91.2547979379
103,103,27.7289719437,6.06255446812,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-53.1524157861,-100.703287414
104,104,28.7967351238,5.07432823651,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-66.2615615008,-99.4071430882
105,105,32.6286454052,7.2550405607,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-73.1721865465,-92.8354062129
106,106,38.289804645,9.23275078503,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.5634667069,-80.7605908901
107,107,42.5528639739,6.02291113032,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-85.3363856295,-88.4949778943
108,108,40.0331169811,6.78095734508,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-83.5674245493,-86.4038319189
109,109,31.5754075529,4.20215458842,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-74.1055718454,-88.3831008004
110,110,27.7502703558,5.14093916922,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-60.3044576433,-103.410512288
111,111,25.6945437353,5.6823893104,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-43.2663383015,-101.565999894
112,112,22.2222517688,5.728406652,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-56.9326309725,-93.9495415314
113,113,29.1673722041,5.40659122062,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-59.8514732508,-99.6313545098
114,114,30.269171741,5.40142988325,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-68.6217726545,-91.3529855103
115,115,30.2037570494,5.01060176478,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-73.2872669681,-92.9395525318
116,116,29.0942915039,4.3083407596,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.263756463,-88.7018924789
117,117,29.3996151337,3.26073228722,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.5807705092,-93.3089775693
118,118,25.1978449276,4.93913230888,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-68.4660399141,-111.643132847
119,119,29.4903056881,3.52840129644,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-81.0348781551,-97.3196700917
120,120,39.4232018485,18.3663321991,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-69.6917107494,-84.699656083
121,121,24.9552064641,19.0337138846,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-50.3245228171,-104.180631125
122,122,33.6969436797,17.7200866835,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-72.6487292685,-88.8199709575
123,123,37.3701358571,21.4031294278,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-81.6135447341,-85.426413423
124,124,32.7366883315,13.3007618461,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-60.3764085335,-79.3766584182
125,125,50.8390448357,16.623576803,51.446,17.966,19,69.175,11.247,19,24.377,11.978,19,82.947,18.112,19,-14.8354568451,-85.2794216247
126,126,37.9439965099,20.3996359108,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-81.832804827,-84.6940951794
127,127,27.6554186317,19.5627496412,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-64.4330204729,-87.9994072875
128,128,19.9511499388,17.9517962874,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-55.4373153522,-93.7090824153
129,129,40.1600968387,17.4516220796,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-70.0324562997,-80.1687462121
130,130,31.5104756037,19.9631866445,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-74.7837750996,-95.943811731
131,131,36.9830526921,18.7355172902,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-71.1339891962,-72.5820917348
132,132,32.8189649383,17.7337137165,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-68.4005421661,-93.3088670777
133,133,24.5708064321,18.2447539477,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-60.2638220642,-96.9811268074
134,134,46.2795138085,19.9898819216,51.446,17.966,19,24.377,11.978,19,69.175,11.247,19,82.947,18.112,19,-58.8804911873,-87.4797576886
135,135,30.9172954095,25.7230140218,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-74.4758610678,-90.1287794673
136,136,23.7069315195,19.8037148105,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-51.5777667633,-98.5484440548
137,137,29.3963640629,18.6056917591,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-67.1963881459,-98.6900217794
138,138,36.0396609785,15.9780611615,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.7150362553,-80.8394028426
139,139,19.1522509685,19.1765346445,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-73.0728667847,-104.734668172
140,140,18.876120696,16.320896983,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-66.4620467987,-96.7279557566
141,141,35.5639101398,19.4520702513,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-77.1207598706,-84.446969999
142,142,24.7634260539,18.60985005,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-65.257414473,-90.5414222773
143,143,35.1892033533,20.3789596013,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.3002414499,-82.2560203838
144,144,22.6729122829,16.9361816381,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-53.255507804,-102.633464759
145,145,21.1061194636,18.6308460676,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-63.3696977568,-91.8893032207
146,146,20.1332986255,22.7574720507,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-78.0146006557,-112.210868838
147,147,34.4932769921,17.0483159486,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-70.7392407029,-87.94707798
148,148,17.3882504841,19.8785050163,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-66.6537762898,-104.092526274
149,149,19.3925453802,16.1125181082,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-57.9086936224,-96.8948710887
150,150,28.45214172,18.2568762431,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-51.8641440505,-90.3161063583
151,151,20.6886776224,17.6491389475,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-59.3667461537,-107.950103976
152,152,21.1570344068,19.2516807726,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-66.2498788516,-103.431906686
153,153,31.263514595,16.7035037961,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-75.5607852873,-95.2687958591
154,154,26.0520032198,21.1754867051,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-66.6832126918,-94.8068276848
155,155,26.3482666188,19.038635816,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-68.272950781,-95.1006300736
156,156,22.8593664326,17.3525633335,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-59.7128259663,-100.699620996
157,157,18.2824768965,17.9020353975,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-73.9581320718,-106.245414883
158,158,9.35073663029,18.2857448862,24.377,11.978,19,51.446,17.966,19,69.175,11.247,19,82.947,18.112,19,-85.9083537812,-106.085889938
